序号,弹幕内容
338,这个说克总还没上天的是纯云吧？重装小车都出来了！那玩意是孤星里面那个保存者改装的
339,两个办法，要么破除她对源石的控制权限，要么嘴遁打赢，目前来看嘴遁不了一点
340,让彩六的干员把牢普扬了（
341,是不是就像生路里那个，接受成为海嗣的那个boss？
342,修星之晶
343,凯尔希异格是一定的
344,但是活过来的凯尔希还是原本的凯尔希吗
345,虚无主义
346,普的计划在这点上跟海嗣一模一样
347,别猜了，普瑞赛斯对今天的泰拉来说就是纯反派
348,普瑞赛斯老踏马激进了
349,也就是说除非牢普再把博士塞进石棺，不然博士就会跟自己对着干
350,凯尔希可爱喵
351,凯尔希进入石棺，用自己充当连接PRTS的接口强行覆盖了对自己权限的封锁
352,源石前身
353,类似思想钢印
354,个人总结，普和博是泰拉文明的爹妈，老妈觉得号养废了要重开，老爹失忆了不给，所以…
355,这是15-17的剧情，注意，情人节问卷的结果会影响主线剧情里面的这一部分
356,包复活的，怎么可能就这么没了
357,大小特就是人类可能性的集中体现
358,让伐木工出场吓吓她
359,我曾是你的猫
360,电子生命
361,考虑到眼前的博士并不是预言家，从某种意义上来说ama10可能并没有被理解为共有物
362,希尔达：找个金色马桶坐坐吧，牢普
363,希尔达是圣女，阿米娅是魔王，这不就好理解了
364,我家猫见面就哈我
365,牢博跟兔兔要推进剧情，在场就仨人，不死牢猫死谁
366,牢普，我家猫哈我，我还不能教训了？
367,就是双生双子
368,哦，原来巴别塔事件其实是个牢博来了个格式化
369,洛克人
370,思想钢印
371,我，始终如一
372,牢普，我家猫上来就带着负心汉哈我，家人们谁懂啊，嘤嘤嘤
373,阿戈尔
374,m3是0！！！
375,赛博女鬼打赢复活赛了。。
376,石棺不少，有能量还能用的不多
377,个人感觉更像是死之前的战场经历让她习惯了而已。
378,简单点就是起床气（醒来发现所有都在忤逆她），发泄而已.
379,还有终末地
380,那就只能彩虹小队和迷宫饭小队出击了
381,不愧是爷
382,园丁和扬场工的花园游戏
383,图恒宇?
384,目前所有的卡池里面六星都没有凯尔希了呜呜呜
385,一次又一次，毁灭喝重生
386,什么讴歌终结之物
387,就跟极乐空间里那个离谱的医疗机器一样
388,思想钢印
389,泰拉椰酥
390,主不在乎
391,不是就死剩下博士一个吗？
392,不要啊，刚冲了648
393,我觉得是信息实体化啊，这东西和原石脱不开关系
394,岁片加深海猎人
395,正经剧情解析怎么这么多玩梗弹幕
396,明年异格凯尔希！
397,代理人战争（暴论）
398,然后热爱生命的博士就看着普和凯厮杀，甚至有选择杀死普，这tm根本不符合人设
399,还有一点是普觉得可以重新修好凯尔希（或者说造一个
400,该异格乐牢猫
401,话疗吧
402,他真的我哭死
403,所以魔王兔是因为受了老普的影响才去封存各个宇宙的？
404,异格凯尔西 学医救不了罗德岛！
405,自己造的面包机没给公民权限叛乱后，一生气直接把面包机砸了
406,什么黑悟空散落六根转生摆脱紧箍束缚！
407,重装小车都出来了
408,老猫都没了还没上天啊
409,超大杯异格预定（
410,回来吧 我的猫
411,这不出生？
412,那我问你普给兔等干员全扬了你觉得玩家会接受吗（）
413,因为她善
414,大地上全都是实验体，都是一堆数据，也不对我造成危险，无所谓。
415,逆潮帝国？
416,园丁（旅行者）和扬场工（见证者）吗？（bushi）
417,方解石
418,BGM：infected
419,周年庆抽复活的凯尔希吧
420,把屠夫之钉给拔了
421,博士上去友情碎颜拳
422,有没有一样好奇锅炉工的
423,普瑞塞斯：哈吉米哈气了，欠爱
424,没有石棺了，最后一次被博士用了
425,因为周年要异格，提前似一下)
426,这会克里斯滕还没上天
427,出异格了
428,异格牢猫
429,离“普”
430,对的
431,正确的
432,这里是“它”
433,加入光明的进化吧
434,思想钢印类似物
435,或者可能写写凯还活着的那三年
436,啊…这算是「虚无」与「毁灭」的“命途交错”么？
437,彩虹小队：我踏马莱纳！
438,复活吧，我的牢猫！！！
439,我也觉得希尔达可能成为我们跟普掰手腕的助力
440,魔王兔？
441,数字生命？
442,好的，异格凯尔希就绪
443,瑞克的粉凤凰计划？
444,通用凯尔希特种
445,风再吹大点啊
446,回来的时候就是异格啦
447,就是虚数化
448,罗德岛，assemble
449,但是解绑了还能回去吗，所以说很有可能不会永生了，但是谁在乎她会不会永生呢
450,工具就该像个工具一样
451,骨髓灰质之钉？
452,牢普：哼，我也有动物朋友
453,两个前文明老灯打代理人战争罢了～
454,赛博女鬼大战
455,飞出个未来
456,不是…我希望不活啊
457,顶级重女，骇死我力
458,源石美化包（
459,兔头警觉（
460,意思是伐木工代表高等级文明或者事件，泰拉世界前文明的覆灭是既定的？？？
461,！！！！！
462,去乌萨斯的话，一定和整合有剧情
463,圣 痕 计 划
464,是洛！是学妹哦！
465,复活吧，我的猫
466,橙   汁
467,心灵控制塔（）
468,因为老猞猁哈气了（）
469,有个伏笔，华法琳的论文不知道能不能成为打败牢普的关键
470,为什么要洗？难道重建前文明有罪吗？
471,方舟剧情神啊
472,数码暴龙
473,？
474,转录
475,？
476,下马威罢了，知道凯可以复活，给你点颜色看看，岛上多少矿石病你心里清楚吧
477,木木枭 你不准变成这个样子！
478,期冀
479,因为说了粗口
480,普眼里只有博士跟AMa-10，其他的泰拉人也就大小特值得她多看几眼，剩下的只有放着前文明项目的人形架子了
481,拯救近卫吧，现在近卫已经没有人类了!
482,《这具身体》
483,博士来解决
484,嗯？凯尔希lily？（兴奋的嘶吼）
485,假日卫龙凯尔希
486,我嘞个潘宏啊
487,到时候就异格凯猫猫了
488,懂了，普是邪恶贝利亚
489,快捷键太出戏了
490,除非阿米娅拉一把或者上岛，这样博士还能学回未知语言
491,一同吃泥
492,龙葵
493,什么时候九龙拉棺然后有一人踏鼎而来（doge）
494,主要是ama-10接口只有一个，只能选择绑定石馆还是mon3th
495,普瑞赛斯就是病娇，博士对其好感只是吊桥效应，却被植入恶灵
496,我博士就是一个热爱生命的惊世巨人
497,不过换到牢普的视角，看到自家猫哈气到这个程度，手里的平板很难不变成数据线
498,可以说整个明日方舟的诞生就是海猫想玩他的oc而已
499,感觉像教育不听话宠物的主人一样啊（
500,普是不是打钉子了
501,xdm塔子姐要上岛了
502,快摁Q！把普瑞赛斯撤了！
503,别的都好说，就是不要碰到乌萨斯刁民
504,不能活就不会写这段
505,这个表情好有意思啊
506,也有可能是因为粗口（并不是）
507,我记得深海猎人血液里也有源石 只不过含量极低
508,海嗣基因可以对抗原石来着，比如幽灵鲨
509,哇
510,凯尔希回归的时候能一根手指头放爆裂黎明
511,说能活不开心的是人？
512,读书只学到希冀是吧
513,所以太没人性了，不喜欢
514,肯定是重辅啊
515,回到来时，去吧，去把凯尔希带回来
516,凯尔希：我将以术士形态出击
517,但是大特彻底没了
518,到时候也可能遇到九和塔露拉
519,磨损（）
520,黄金马桶
521,现在又不是你死我活的境地
522,【方舟测评54】新神已至！满潜专九异格凯尔希测评
523,什么流浪地球
524,doctor既有博士也就医生的意思啊，或许说医者仁心？
525,战术规划：猪鼻
526,P尔希都爆粗骂普了
527,所以mon3tr到底算不算牢猫异格
528,这里的M3看起来真的很开心
529,致敬传奇削权限王大特
530,今年的愚人节活动？会不会是在为明年的主线测试技术啊
531,合着我是泰拉的爹
532,哈！
533,牢普：凯尔希的记录我能删一年
534,老普神选
535,孩子们，等我异格！
536,对泰拉来人说就是无敌的，除了深海猎人（鲨鲨不算）还有岁片以外，基本上是个泰拉人身体里面就有源石
537,你是我的哈基米口牙！
538,坏了，那复活后的凯尔希很有可能不是以前的凯尔希了
539,人类黑暗黄金时代
540,凯尔希她觉得能动，但其他人不敢动，是怕真正伤到了博士的心
541,小特确实是发现了普的一部分，但并不知道那个是普干的，更不知道那个阳谋是什么
542,你造的她≠她是你的，唐式不等式秒了
543,情人节问卷隐藏剧情，回答不同剧情也不同
544,没有
545,还有灰喉也是普通人
546,朔望令黍绩年夕余：这不就来活了么
547,为什么我要打我老婆？
548,那我也不悲伤啊，这不是板上钉钉的事吗
549,普瑞赛斯可能会和特雷西斯一样，经过心路历程的转换，认同罗德岛目标呢
550,并非敌方
551,近卫）不是
552,这么快？
553,这是个坏女人啊这个
554,达芬奇酱是吧。。。
555,前文明对泰拉就是降维打击，预言家只是失去记忆了，如果还有记忆即使两人的研究相反预言家也有能力跟老普一搏
556,凯尔希皮肤不就是打赢复活赛很久之后的事了嘛
557,超大杯
558,这已经不止是战力的争斗，而是两个思想的碰撞
559,屠夫之钉
560,普和阿米娅相互没有敌意
561,普陆平衡，相信幽灵鲨
562,问题是我们的敌人不是普而是伐木工，相信新材料
563,打天堂之战没打赢
564,孤星的石棺群却一点能源都没有了
565,普估计是直接把凯尔希压缩进源石了，那找小特解压缩一下就行了（什）
566,直接加入
567,石棺能救
568,如果源石不会自动防御，暗杀就行了
569,我看未必，普这个态度就是我想杀你分分钟的事情，所以凯尔希才打算先发制人，结果也证明了不是不想杀，就是跟你玩，反正也奈何不了我
570,你看这话说得，为什么要刻意与普瑞赛斯为敌呢？
571,不是，小兔子与其说是信神不如说是信教廷给的鸡蛋
572,凯尔希，你不叫AmaC10，你就是凯尔希，你是我们的战友！
573,主要还是对于源石这一方面的展开吧，毕竟目前普所展现的能力和罗德岛大特这一方的努力都是针对削弱普对于源石的掌控
574,换句话说前面还有个小兔子也是崩解的时候被牢普带进源石里世界的，老猫就是被带进里世界而已
575,没事，老女人既然能传功给m3，那m3多半也可以把记忆复制一份回去
576,将万千生灵熬成回忆
577,我将保护泰拉
578,战争恶魔
579,甚至还骂了普瑞赛斯
580,异格的准备 
581,博兔都能感受到牢普本身没有对立的愿望
582,变成凯尔嘻了
583,亡猫回忆录
584,巨兽兽主天堂支点海嗣之类的还可以上
585,主不在乎和主好奇的是两码事
586,ff14小黑鸟
587,不会打的，普和博本来就是一路人，两颠婆的小打小闹而已
588,把骨灰都给扬了
589,你家狗子准备咬死你你动不动手
590,星际之门的无限治疗石棺
591,“我始终如一”
592,没有人的文明不是文明是吧
593,两个人都太偏执了
594,？
595,开心的？歪了...
596,凯尔希就只穿了这件外套么？
597,一换一罢了，毕竟真炸了一个普的源石替身，成果斐然（大嘘
598,世界本来就要毁灭 谁来毁灭不一样 我不行吗?
599,格式化
600,可能希尔达面对普、转化凯尔希的普、大特面对的普是三个不同的个体
601,我怀疑每个场景的普都是单独的个体，映照着每个面对她的人，希尔达认为是神因此普给予温柔与关怀，凯尔希抱有恨意因此普展现出敌意与傲慢
602,只是关小黑屋教育去了，不算扬了
603,什么小蓝鸟
604,爆猞猁子了
605,博士就是躺赢狗
606,实验者会在意实验室动物的死活吗，大概率是不会的（因为见多了已麻木）
607,1000+
608,拉特兰主机已经把萨卡兹让为一体了
609,嘿呀博士还是太白左了
610,普杀凯尔希？明明是凯尔希要杀普，普只是关了哈气米小黑屋
611,牢猫，不要肘
612,但其实是方舟2.5（
613,屠夫之钉
614,静滞立场
615,恶灵博士就是被普钢印影响后的预言家。
616,不会是前女友吧
617,和思想钢印不一样吧，应该只有提醒作用
618,M3:有的
619,并非一家三口，普压根没吧凯尔希当人看
620,感觉像普要利用兔子进行原石无痛化展开
621,凯尔希：现在你，早就对我一文不值。 看剧情代入了一下，确实想扬了它（）
622,加入我们无敌的术特队！
623,布！！！！
624,MD，姓普的，劳资跟你不共戴天
625,她想成为干员
626,所以这是把普完全当做反派来看待了是吧
627,一下子精神了。
628,岁家全员都不含矿石，应该能打？
629,下一个可能就是凯尔嘻了
630,当时博士咋来啊你让博士突破源石尖刺和罗德岛形变赶到石棺精干早似完了
631,因为M3挡刀了没杀掉啊，普不是说可惜吗
632,“一切都是为了延续希望”嘛。。
633,提卡兹：所以这就是你家宠物抢我们家你不管的原因？
634,前文明最喜欢的事情，捡兔子
635,发现了
636,博士进来了谁管罗德岛
637,睡服她，或者被她睡服
638,说是阳谋，是不是偷偷的还说不准
639,为了卖卡
640,博士当时过不去
641,类似弱化版的思想钢印，会一直提醒你，但不强制改变态度和思维
642,娇小凯尔希（兴奋
643,因为前文明的癫公癫婆要打一场代理兔战争（
644,明日方舟很多地方都有命运2的影子
645,低情商：我不做成美少女你抽吗
646,博士养魔王兔，普就养圣女兔，合情合理(
647,希冀xiji
648,我想要妹妹
649,一格凯尔希（
650,上岸的鱼不再是鱼
651,感觉希尔达不会向坏的方向发展
652,不无敌啊，都有可能被凯尔希伤到了还无敌吗
653,对抗罗德岛
654,而且即使如此都不算杀了，源石粉尘化还有进内化宇宙的阶段
655,到时候变成终末地凯尔嘻了吧
656,小番茄（）
657,无敌在哪？
658,打复活赛了
659,祖呀！！！！
660,好像只要体内有一点源石就能秒了，就算是深海猎人血液里也多少有一点，牢普无敌了
661,加入光荣进化吧！
662,凯尔希：普瑞塞斯...我X你X！
663,应该只是一个巧合
664,孩子像妈
665,莫里亚蒂
666,我想要妹妹
667,看起来是个sk级末日情景
668,乌尔饼干：没有源石病，还能够肘击对方的人，难道你在找我？
669,其实普不杀猫猫也活不下去了剧情里有暗示了
670,既然缡潜厝坏模那N不妨W某群“恐”一樱做一些“o意x”的事吧
671,人类补完是吧 把所有人变橙汁
672,通过记忆与数据重塑，再熟悉不过了
673,你们怎么办，只有天知道
674,泰拉历1098年被杀 1099年在孤星里现身 你告诉我怎么死
675,凯尔东
676,之前大伙都叫它脊髓灰质钉
677,世界上的另一个我
678,异格凯尔希，骗我们再氪金一次。鹰角：奈斯啊
679,凯尔希说不定会失忆，角色互换
680,所以说m3是凯尔西的皮肤
681,什么b名字（
682,走去冲鹰角
683,凯尔嘻
684,我更倾向是预言家回来
685,异格凯尔希，再骗我们氪金一次
686,超大杯
687,这次活动信仰崩塌这一块应该没人比得过奥伦（
688,我只知道她下次没衣服穿了（doge
689,说牢博没有脑子的你同时也在否定人类
690,主要是炎国剧情还有凯尔希呢
691,近卫凯尔希，启动
692,要打科技战，争夺原石权限
693,牢普视角：家里的猫趁着老伴失忆把人拐了不说，还要你
694,我勒个软体不稳定
695,的确，现在罗德岛和南极迦勒底类似，普瑞赛斯难道还能比奥尔特uo可怕吗
696,请务必实装
697,完全没悲伤
698,凯尔希：孩子们别怕看我杀出冥界
699,母女情
700,还有一个石棺里面有梅菲斯特，也许会变成异格boss
701,我觉得凯尔希把要它wanbjO
702,wdj
